sample-id,frequency
seq1-0607P-F11,848652
seq1-A21-E3,607253
seq1-A19-C3,573332
seq1-A23-F3,573151
seq1-E23-G9,570181
seq1-A17-A3,486181
seq2-061608-E3,468140
seq1-A13-E2,439220
seq1-A7-G1,426557
seq2-060702-H8,419853
seq1-A12-D2,397838
seq1-A16-H2,388708
seq2-060803-H6,387462
seq1-E16-H8,385478
seq1-E21-E9,379028
seq1-E13-E8,371784
seq2-D4-B7,357960
seq1-C19-G11,356692
seq1-A2-B1,352925
seq1-A4-D1,351713
seq2-060703-H7,348608
seq1-E14-F8,348501
seq2-C8-C5,345178
seq1-E22-F9,342596
seq1-A8-H1,341465
seq1-A11-C2,336331
seq2-C7-C4,332382
seq2-0607P-B10,326644
seq2-C4-B4,325499
seq2-B23-D3,325370
seq2-061608-G10,324050
seq1-A9-A2,320439
seq1-E8-H7,319602
seq1-E11-C8,318057
seq1-E18-B9,314553
seq2-D1-A7,314319
seq1-61618-E10,313878
seq1-E15-G8,311204
seq2-E10-H3,308904
seq1-A6-F1,307870
seq1-E6-F7,306831
seq1-A14-F2,306495
seq1-E12-D8,306253
seq2-C3-A6,303530
seq2-D14-E8,302085
seq2-061603-D11,301641
seq1-F5-siyi-3-17-G12,298706
seq2-C16-F4,297226
seq2-060805-B6,294166
seq1-A5-E1,292805
seq2-C22-H4,289823
seq1-A15-G2,289473
seq1-E19-C9,287689
seq1-61614-A10,286178
seq2-C21-G6,284350
seq2-E6-F3,283582
seq2-C2-A5,281478
seq1-F7-si-3-18-H11,281157
seq2-B6-F1,280908
seq2-C18-F6,279165
seq2-060806-B5,277893
seq1-E20-D9,276791
seq1-61617-F10,276700
seq2-B9-A2,275387
seq1-61616-G10,274902
seq1-E1-A7,273193
seq2-C10-D4,271876
seq1-60701-H6,271861
seq2-C19-G4,271656
seq2-061610-E10,271223
seq2-E8-B9,269938
seq1-61611-D10,269133
seq2-B21-B3,268271
seq1-E4-D7,267319
seq1-61615-H10,266495
seq1-E2-B7,266434
seq2-D8-C8,265263
seq2-B22-C3,264772
seq2-B13-E2,264419
seq2-C17-F5,264295
seq2-C12-D6,261999
seq1-61613-B10,261651
seq2-D15-E9,260386
seq2-060801-F7,257758
seq2-C15-E6,251624
seq1-A10-B2,251241
seq1-F6-siyi-3-13-H12,250098
seq1-60807-G6,249568
seq2-060802-B8,248860
seq2-C13-E4,248728
seq1-E5-E7,248291
seq1-A1-A1,245658
seq2-D9-C9,245468
seq2-061609-F10,244646
seq2-060701-H9,243001
seq1-A3-C1,242157
seq1-E10-B8,240389
seq2-D7-C7,239808
seq2-B16-H2,237188
seq1-61612-C10,235358
seq2-D17-F8,235063
seq2-D13-E7,234784
seq2-D2-A8,234280
seq2-C20-G5,234093
seq2-B11-C2,233880
seq2-B17-G9,233218
seq2-B14-F2,230682
seq2-E15-G3,230622
seq1-E17-A9,228825
seq2-B12-D2,226999
seq2-C1-A4,225092
seq2-061602-E11,222838
seq1-E7-G7,221444
seq2-C23-H5,220513
seq2-D20-G8,219108
seq2-D10-D7,218756
seq2-061607-H10,217906
seq1-F2-B12,217239
seq1-E9-A8,215478
seq2-060808-G11,214975
seq2-C9-C6,213922
seq2-061604-C11,213764
seq2-D11-D8,212964
seq2-E2-E5,212594
seq2-D12-D9,211890
seq1-E3-C7,211282
seq2-D19-G7,208996
seq2-B5-E1,204838
seq2-C11-D5,204468
seq2-061605-B11,202511
seq2-B4-D1,202131
seq2-B8-H1,200537
seq2-B3-C1,200436
seq2-D18-F9,199529
seq2-061606-A11,196148
seq2-E17-H11,194913
seq2-E9-D10,194142
seq2-F12-G12,185311
seq2-F13-H12,183786
seq2-B7-G1,180598
seq2-D3-A9,175862
seq2-B2-B1,174260
seq2-B15-G2,171780
seq2-061601-F11,167740
seq2-061620-C10,167067
seq2-F9-B12,161129
seq2-B10-B2,160610
seq1-F4-siyi-3-2-F12,150976
seq1-A18-B3,147866
seq1-F1-A12,145948
seq2-B1-A1,130298
seq2-F8-A12,108935
seq2-F11-F12,99299
seq2-B18-A3,94848
seq2-0607S-A10,4523
seq1-AS1n2-G3,3939
seq1-Esc-H9,1936
seq1-A20-D3,1128
seq1-F3-E12,61
seq2-F10-E12,12